"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12"
"YPR161C",2.81075477959886,-0.712157564531611,-0.43320092106864,0.881953582926904,-0.196966359292596,-0.415555901112276,-0.182787440394988,0.118903929268338,1.09174746508673,0.146497713613635,-0.380952960860306,-2.01505478969466e-14
"YOL138C",-3.25826801293859,-0.260990612206544,0.0538379223852354,0.315005141639296,-0.0628589049530511,-0.319774407537658,-0.26718926637113,0.122885375964701,0.0915296320968475,0.0898648637863796,-0.0748950106279566,-1.33226762955019e-15
"YDR395W",3.28881462397727,-0.388130497078611,-0.0210243313031383,0.0869622841875209,0.0245970752561117,-0.146162987128944,0.128726531423141,0.0367468842925398,0.00180700279855496,0.0837129886725404,0.00574535233765,-5.96744875736022e-15
"YGR129W",2.69235565092616,1.40458006970179,0.605743726744414,-0.334450520656099,0.324290374138119,-0.902274224273792,0.526172669950808,0.179545497503553,0.00492539535122417,-0.227684524224991,-0.203279663500994,-1.06303854607859e-14
"YPR165W",2.80139097791682,1.63665808758735,-0.0378103628469745,-0.183253803810031,0.212388107454273,-0.04602242215385,-0.173986897400089,-0.333446729862735,0.159932383810382,-0.403812209650048,-0.0793177939841048,6.32827124036339e-15
"YPR098C",-3.27176274264414,0.0401573968211564,-0.349234220418474,-0.187954821370233,-0.220564753296806,-0.202673744045589,-0.0415694730459187,0.0212644974266262,-0.00103778671491472,-0.121687628889298,-0.0544781629121644,5.55111512312578e-17
"YPL015C",-2.96473059651163,-0.753157549903795,-0.918142271772487,0.515172548579163,-0.0275675931450861,0.413148733808918,0.099399254723755,-0.059950327099536,-0.0280530008930603,-0.472090680426644,-0.226751759354019,-8.07687250414801e-15
"YCL050C",2.71771711804707,-0.483183318044552,-0.110972324481171,0.859234783407366,0.239643319250062,1.11281634003102,0.916833826190933,0.289417665534753,0.111214283484548,0.162087719511194,0.594755138874778,6.66133814775094e-15
"YMR193W",0.19637555834623,-2.25566905106447,0.168675007280978,-1.13920767069171,-0.293121166653497,0.712502094574909,1.41868491146894,0.681416501247565,1.04171263788164,0.591082646204292,0.29984250535006,-1.4432899320127e-14
"YLR031W",-3.27151101146299,-0.0872023868553212,-0.170965087534322,0.0936200107297156,0.0433891858634216,-0.375140502879238,-0.0348099913721742,-0.24294038673001,0.125099359026584,0.0753168862730821,-0.0551249305981645,1.66533453693773e-16
