Name	Ca10x_salmon	Ca1x_salmon	Ca2x_salmon	Ca3x_salmon	Ca4x_salmon	Ca5x_salmon	Ca6x_salmon	Ca7x_salmon	CaC10_salmon	CaC1_salmon	CaC2_salmon	CaC3_salmon	CaC6_salmon	CaC7_salmon	CaC9_salmon
XM_072062909.1	6.96481	6.1842	4.75888	3.85229	4.5846	8.06329	4.33457	6.32997	7.06707	5.69122	5.05823	5.01692	5.06735	5.92443	7.29878
XR_011816944.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_027256288.2	18.6929	30.1975	31.1138	23.7974	24.9845	24.1426	15.9854	23.8207	13.9815	51.5483	21.4679	30.4072	21.4505	17.2699	18.4211
XM_072064523.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_027235499.2	0	0	0	0	0	0	0	0.009058	0	0	0	0	0	0	0
XR_011816945.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_027206373.2	35.7146	34.2066	41.7799	29.7924	37.9837	35.0441	21.1495	31.6439	31.2953	35.6757	36.5157	38.5554	34.0913	30.6053	45.4133
XR_011816950.1	48.8222	58.266	75.8341	47.4153	73.3907	60.0898	31.3101	47.2959	42.8119	54.0859	55.7885	53.2735	42.6519	38.8335	60.6845
XR_011818060.1	28.4122	58.5055	40.6877	1.84923	54.6244	50.1	17.7718	29.8035	37.9624	45.9358	47.7391	52.4324	33.5665	15.1759	13.003
XR_011816951.1	0.268463	0.166894	0.335954	0.154217	0.186213	0.294602	0.383585	0.328972	0.728271	0.631874	0.161939	0.494399	0.332946	0.331209	0.348624
XR_011816963.1	0.195943	1.09067	0.786058	0.343301	0.868178	0.763648	0.652261	0.784116	1.5381	1.63446	0.950033	0.403059	0.55489	0.841778	0.819519
XR_011816964.1	1.40734	1.57501	1.26959	0.375788	1.23803	0.502045	0.636376	0.065188	0.867416	0.37782	0.467118	2.73777	0.187406	0.267411	0.584557
XM_027256098.2	5.39529	3.73929	2.77532	2.155	2.76751	2.90074	4.24507	4.35333	4.50767	2.47855	3.03812	3.39175	2.94548	4.30494	3.76228
XR_011816967.1	2.65733	5.04061	5.97324	5.93013	7.98004	10.4702	1.66612	2.06691	1.49896	3.7692	5.67104	5.77215	2.08985	3.09502	3.19429
XM_027209622.2	2.72248	2.94879	6.17224	4.20578	3.83879	4.88135	5.01069	2.99073	1.97609	3.92559	4.77972	4.81878	3.95967	2.52309	5.1037
XR_011816971.1	0.146637	0	0	0	0	0	0.066583	0	0	0	0	0.131269	0	0	0.239969
XR_011816972.1	2.02986	1.71426	1.45694	0.760913	1.61527	1.65242	1.75658	1.77267	1.26502	1.88379	1.53415	2.08079	1.97845	1.5708	1.94729
XR_011816973.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_027213937.2	5.82484	7.10952	6.69461	7.42566	7.48996	9.00705	19.7981	9.22492	7.00541	8.77312	10.3411	13.2948	11.7293	10.7607	7.77314
XR_011816978.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011816979.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_027211132.2	29.0249	29.7001	31.0691	20.763	30.0639	25.5618	15.7893	24.376	23.3758	29.8433	26.1335	29.1666	21.6104	29.8488	20.1344
XM_027237129.2	3.64726	2.66935	1.35981	3.62927	1.70808	1.54131	1.88618	2.30738	4.12794	0.782468	1.84953	1.6538	3.26563	3.72828	2.08645
XR_011816983.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_072078733.1	2.4742	6.61531	4.68814	8.7498	8.93527	10.5848	1.25684	2.28522	4.55836	9.98461	2.4152	10.0616	7.79945	2.63768	3.98988
XR_011816985.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011816986.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_072067080.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011816999.1	0	0	0	0	0	0	0	0	0.171382	0	0	0	0	0.048022	0
XM_027253549.2	0.295706	0.560345	0.389096	0.144271	0.241989	0.294982	0.060397	0.365153	0.124823	0.789768	0.099069	0.33406	0.566129	0.253399	0.404396
XR_011817000.1	0	0	0.378503	0.207879	0.194148	0.081019	0	0	0	0.200731	0.1904	0.142693	0.101522	0	0.295585
XR_011817001.1	0.181323	0.415253	0	0	0	0	0.258577	0	0	0	0	0	0	0.076934	0
XR_011817004.1	4.38407	5.02391	4.73207	3.13969	8.11395	8.19181	7.38526	7.78332	3.60058	6.01504	9.63698	3.93162	5.96854	5.89014	3.43807
XR_011817014.1	0.814135	1.04198	1.09429	0.238593	1.55295	0.65441	0.753876	1.02106	0.603247	0.664976	0.680963	0.556435	0.636681	0.994142	0.871956
XM_072044922.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XR_011817016.1	0.444537	0.156656	0	0	0.598032	0.254335	0.452047	0.190224	0.641486	0	0	0	0	0	0.874801
XM_072046076.1	322.713	395.804	424.762	319.258	410.583	391.691	246.738	321.425	379.953	437.467	333.75	370.59	448.104	359.801	445.182
XR_011817017.1	0.55358	1.10456	1.44019	0.308882	1.47445	0.732781	0.565387	1.28032	1.41096	2.00362	0.570917	1.43018	0.604794	1.93506	0.549212
XM_027227498.2	5.04583	6.26516	5.07641	3.7086	4.78523	5.40714	3.44443	4.2089	6.10765	4.22106	4.29461	4.15169	4.95368	7.13929	5.92449
XR_011817027.1	4.0391	2.94587	3.01094	2.48932	4.87942	4.33285	3.23183	3.15737	3.94395	3.24696	5.06164	4.73739	3.11546	3.28053	2.22826
XR_011817028.1	0.75355	0.64732	0.687409	0.682368	0.599	1.34084	0.599118	0.951721	0.59578	1.39966	0.625323	0.469467	0.706357	0.303948	0.142201
XM_072084487.1	87.6983	67.3654	58.6598	41.9141	32.7999	42.4866	133.78	183.286	66.2367	107.838	41.8657	42.4592	135.954	109.327	90.3315
XR_011817040.1	0	0	0	0.047916	0	0.095577	0	0.249478	0	0	0.350072	0	0	0	0
XM_027212702.2	12.6805	11.8076	8.4676	7.48632	12.932	10.6732	13.8825	12.1159	14.3674	10.5049	12.6994	11.7148	10.1643	18.9836	8.75002
XR_011817041.1	0	0.138375	0	0.091485	0	0.065673	0	0	0	0	0	0	0	0	0
XR_011825515.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_027225135.2	11.4773	20.5177	21.0862	14.4809	18.7935	20.4096	14.4065	20.1937	17.7724	16.1411	16.9563	16.5347	20.4781	15.847	17.7872
