Name	Ca10x_salmon	Ca1x_salmon	Ca2x_salmon	Ca3x_salmon	Ca4x_salmon	Ca5x_salmon	Ca6x_salmon	Ca7x_salmon	CaC10_salmon	CaC1_salmon	CaC2_salmon	CaC3_salmon	CaC6_salmon	CaC7_salmon	CaC9_salmon
XM_027233039.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_027257162.2	7	3	5	7.837	19	1	11	21	5	12	11.001	8	15	6	5
XM_027233041.2	4040.71	4059.36	4618.52	3361.92	5125.86	4053.14	4312.48	5419.05	4131.16	3452	3314.11	4437.56	5355.27	4829.48	4415.29
XM_027233083.2	3147	3709.88	3640.02	3477.78	4582.01	3249.3	3732.58	5063.48	3045.89	2801.89	2591.27	4165.92	3769.39	4146.86	3017.9
XM_072075708.1	1365.99	1798.96	6327.42	2693.83	2090.39	2434.67	2205.96	2407.99	392.998	2219.04	995.772	2370.85	2284.53	2303.15	720.999
XM_027233087.2	17539	23969.8	26002.4	31296.9	33263.3	25767.9	22772.8	21832.1	20995.8	11238.1	25384	30353.1	29772.6	30540.7	13895.8
XR_011819939.1	0	37.151	11.865	24.236	14.768	4.468	28.673	3.76	19.066	17.805	20.679	0	0	0	0
XM_027236038.2	8639	14332.8	9455.36	6433.03	15398.6	8383.76	8542.06	13426.5	12138	7689.84	7758.93	9866.94	7859.88	13596.4	7216.44
XM_027233109.2	1079.58	1286.64	912.223	797.792	1196.17	1202.37	1055.71	1173.31	1248.94	569.642	826.351	973.467	1071.56	1078.39	1065.17
XR_011815347.1	26	21	35	9	33.716	6	22	18	20	5	24.003	30	18	26.011	9
XM_027212225.2	3960	3704.19	3519.28	2787.92	4035.81	3193.28	2992.15	4428.86	3762.38	3343.42	3011.15	4082.5	4180.27	5209.42	3169.04
XM_027236850.2	433	409.295	228.229	422.743	199.001	83.152	130	41	584.017	41.026	207.129	138.216	249.613	1060.62	192.3
XM_027232068.2	39.263	39.289	6.684	5	16.322	9.639	39.991	42.04	21	942.476	16.652	23.946	33.519	43.669	2
XM_027216838.2	15897	15191.3	22196.6	11828.6	19294.2	17159.2	17462.4	19895.9	10601.3	23079.4	20918.2	23138.6	26086.9	24380.6	11969.2
XM_027233125.2	1982.93	2735.36	1563.64	1391.09	2208.9	1851.68	2058.3	2951.05	1496.99	1425.77	1778.94	2267.9	1909.44	2947.54	1285.57
XM_027224015.2	7.35	94.677	38.949	17.725	30.856	28.197	11.19	13.771	10.279	62.206	29.169	48.185	11.58	10.232	4.168
